Reviews,Rating
This is terrible. 😭,2
Nothing special. 😑,3
Worst day ever. 😒,2
Average experience. 😑,3
Meh. 😑,3
Everything went perfectly. 😊,5
So grateful! 🥰,5
Absolutely awful experience. 😔,2
So-so. 😑,3
I'm indifferent. 😑,3
Neither good nor bad. 🤔,3
Worst day ever. 😢,1
I'm so disappointed. 😞,2
I hate this. 😡,1
Average experience. 🤷,3
Absolutely wonderful experience. 😁,4
This is terrible. 😔,2
I'm so disappointed. 👎,1
Neither good nor bad. 🤔,3
Neither good nor bad. 🤔,3
Everything went wrong. 😩,1
No strong feelings. 🤷,3
Horrible job. 😡,2
Couldn't be worse. 👎,2
Everything went wrong. 😤,1
Best day ever! 🤩,4
I'm so disappointed. 😠,1
Just another day. 😬,3
It was fine. 😐,3
Absolutely wonderful experience. 🎉,5
No strong feelings. 😐,3
Everything went wrong. 😠,2
Amazing job! 😇,4
Couldn't be worse. 👎,2
Absolutely wonderful experience. 😍,4
I'm so happy with the result. 😇,5
I hate this. 😒,1
Everything went perfectly. 😃,5
Just another day. 😶,3
It's okay. 😶,3
I hate this. 😩,1
Everything went perfectly. 😁,5
Amazing job! 👍,5
I'm so disappointed. 😭,2
Meh. 😑,3
Horrible job. 😩,1
So-so. 😶,3
Nothing special. 🤔,3
I'm thrilled! 🤩,4
Absolutely wonderful experience. 😁,5
This is fantastic! 🎉,4
Horrible job. 😩,2
Amazing job! 😃,5
Couldn't be worse. 😔,2
Everything went wrong. 😠,2
Couldn't be happier. 😁,4
Worst day ever. 😠,1
Couldn't be worse. 😢,1
It's okay. 😶,3
Everything went perfectly. 😊,4
I'm indifferent. 😑,3
I'm thrilled! 🤩,4
So-so. 😬,3
Horrible job. 😞,2
Couldn't be happier. 😊,5
Absolutely awful experience. 😔,2
Nothing special. 😬,3
No strong feelings. 😑,3
Couldn't be worse. 😤,2
Nothing special. 😐,3
Everything went wrong. 😢,1
I hate this. 😠,1
Everything went perfectly. 👍,5
Couldn't be worse. 👎,2
Everything went wrong. 😤,1
I'm so disappointed. 😤,1
I'm thrilled! 😁,5
Absolutely awful experience. 😢,2
Meh. 🤔,3
I'm indifferent. 🤔,3
